participant,total_keystrokes,wpm_estimate,hold_mean,hold_std,hold_cv,dd_mean,dd_std,dd_cv,dd_skew,dd_kurtosis,ud_mean,ud_std,overlap_ratio,dd_iqr
p001,5035,65.57377049180327,0.1057904667328699,0.047410983320037695,0.44815931703708817,0.3077642502482622,0.386160120018392,1.2547270181864563,6.165936483879481,86.09086069685554,0.20197378351539225,0.3845904550876197,0.1660377358490566,0.15999999999999998
p002,5257,88.23529411764706,0.08499809777439604,0.02154574608740762,0.25348503850750703,0.17463268023587597,0.14612820528319484,0.8367746809235244,3.8541588961778146,25.076352369845026,0.08963458246147993,0.14869945135320825,0.17937987445311013,0.086
p003,4964,142.85714285714286,0.08879512489927478,0.16466962060329113,1.85448943047363,0.10188336019339243,0.24494196636771443,2.4041410285523668,0.7884088952742583,335.5187468819808,0.013088235294117647,0.17867763945726167,0.48327961321514906,0.063
p004,4476,134.8314606741573,0.17652971403038428,0.8453067575881199,4.788467268703708,0.14510969615728328,1.2431737498522106,8.567130817397233,0.05472092333796205,29.578006731474765,-0.03142001787310098,0.9031713998527872,0.06769436997319035,0.154
p005,6390,50.20920502092051,0.10498779342723004,0.05381051293109514,0.5125406599615089,0.3036532081377152,0.28803943669803667,0.9485802520070921,10.6581292868348,243.7247837819177,0.19866541471048513,0.28265578998259117,0.09358372456964006,0.23900000000000002
p006,5360,93.75,0.09745466417910448,0.3411613397053283,3.5007184374298816,0.16269533582089551,0.5301165341159655,3.2583388542837386,2.050175441711828,175.97065247521746,0.06524067164179105,0.40005169649456723,0.27369402985074626,0.113
p007,4893,63.829787234042556,0.09332168403842224,0.027325457646552326,0.29280930716275905,0.24610831800531374,0.22843077527042946,0.9281716974129148,12.070369682793286,332.99322878009923,0.1527866339668915,0.2322831395487288,0.04721030042918455,0.096
p008,4996,90.22556390977444,0.11404243394715773,0.3976651357121485,3.486992709191118,0.1470964771817454,0.5686801464871163,3.8660351177851964,-0.1398610279298655,179.81539338783378,0.033054043234587674,0.4088306994618775,0.26601281024819856,0.07699999999999999
p009,5116,56.60377358490566,0.09448709929632526,0.037204321185431266,0.3937502734500625,0.28889171227521504,0.3059355428916662,1.0589972986148324,11.377214112205046,260.45728671419744,0.19440461297888975,0.30859032637303063,0.04104769351055512,0.12999999999999998
p010,4748,41.66666666666667,0.08723546756529066,0.03980095501451984,0.4562473971350147,0.3860149536647009,0.2965803186125241,0.7683130298370221,2.85214670568426,18.527144948323464,0.2987794860994103,0.2985051748260393,0.002316764953664701,0.327
p011,5472,64.86486486486487,0.10774744152046785,0.04644976328139965,0.43109852657221537,0.26103965643274857,0.29399636062568946,1.1262517145605864,9.526285263064032,210.13463839777015,0.1532922149122807,0.2898108459022033,0.10581140350877193,0.095
p012,5982,88.23529411764706,0.1180041792042795,0.03365758141058679,0.28522363900622116,0.1888751253761284,0.1651377489476985,0.8743223789730971,3.026679994187253,16.76801962199568,0.07087094617184887,0.164752025652504,0.42577733199598794,0.11599999999999999
p013,5375,74.53416149068323,0.10264000000000001,0.039578464557351464,0.38560468196951964,0.2095601860465116,0.20430020084538794,0.9748998829388517,11.835012509733454,290.95308493134473,0.10692018604651163,0.20822865157328344,0.2109767441860465,0.1
p014,5558,61.53846153846153,0.0770638718963656,0.03138287285386087,0.407231976302256,0.377044080604534,0.4303437762265806,1.1413619742725811,4.916123989360906,61.63392281784188,0.2999802087081684,0.4354353179404999,0.04659949622166247,0.34199999999999997
p015,5881,65.93406593406594,0.12937459615711613,0.050438491815039746,0.3898639556237593,0.2591627274273083,0.22552199286007601,0.8701945495743874,3.141175726559368,16.11995149916652,0.12978813127019215,0.22238616900614924,0.2654310491413025,0.176
p016,5187,63.1578947368421,0.10597744360902256,0.047527137925151716,0.4484646572575507,0.2970169654906497,0.2877024237524905,0.9686396979957953,3.6888144149882316,30.259302221921924,0.19103952188162715,0.28350371517347733,0.13475997686524002,0.252
p017,5379,83.91608391608392,0.09038352853690278,0.03710745901344405,0.41055554716801546,0.19567726343186465,0.21512413487213464,1.0993823763640365,10.920627960787277,303.5821577056078,0.10529373489496188,0.22033165520505033,0.21974344673731178,0.10999999999999999
p018,5267,59.70149253731343,0.06495538257072338,0.0198284635594776,0.305262824645647,0.3388494399088665,0.4337930717443519,1.280194153075834,5.2254035415819216,45.61586932465609,0.27389405733814315,0.4333397465114055,0.00018986140117714068,0.18000000000000002
p019,5250,75.94936708860759,0.14136857142857143,0.3526021327430033,2.4942045405131696,0.18724876190476192,0.5524492928833088,2.950349509730244,-1.495121556140893,186.20758302059576,0.04588019047619048,0.42041016034632805,0.3264761904761905,0.111
p020,5256,90.9090909090909,0.12003462709284628,0.3469730726843302,2.8906081610596255,0.1830724885844749,0.5595684383345627,3.0565402953833845,-1.634906646453778,181.2797253856947,0.06303786149162861,0.4364298606930779,0.3224885844748858,0.10400000000000001
p021,5545,72.28915662650601,0.10904201983769161,0.03261249597112153,0.2990819137399053,0.2012955816050496,0.13504130129657035,0.6708607323608675,2.77910766582206,12.991683021440789,0.09225356176735798,0.13273939242325097,0.19386834986474302,0.11100000000000002
p022,5213,84.50704225352113,0.1115635910224439,0.13088787666026952,1.173213191335317,0.17125455591789757,0.21946978736941705,1.281541306700388,0.25855229960297627,1154.1000116074104,0.05969096489545367,0.1793809894052997,0.32956071360061384,0.1
p023,4991,50.847457627118644,0.08806151071929473,0.08682921771696743,0.9860064517146948,0.3761466639951913,0.48897740841502246,1.2999647616741152,6.781240910280037,70.57708208343433,0.2880851532758966,0.4803872917366735,0.009216589861751152,0.17049999999999998
